,city,county,lng,lat,leads,renews,rate,level,eb_estimate,new_eb,score
100,南京市,建邺区,118.727,32.0064,204,33,0.1627647058823529,2,0.1508979404100365,0.1492390311305061,170
101,大连市,中山区,121.642,38.9171,181,32,0.1777955801104972,3,0.1624270306826396,0.1526309605552849,170
102,重庆市,长寿区,107.078,29.8606,171,28,0.1647426900584795,2,0.1507982427196878,0.1489541652097697,170
103,兰州市,安宁区,103.708,36.1074,156,27,0.1772820512820513,3,0.157464866105273,0.1478688139601803,170
104,芜湖市,镜湖区,118.38,31.3423,123,25,0.2042520325203252,4,0.1779152583471412,0.14843442047041,170
105,合肥市,合肥经济技术开发区,117.229,31.7402,120,21,0.1801666666666666,2,0.1553039351946394,0.1517596802343491,170
106,重庆市,巫溪县,109.565,31.4002,49,10,0.2050816326530612,2,0.1556269033463487,0.1501710938473737,170
107,佛山市,南海区,113.004,23.0616,2561,367,0.144498633346349,2,0.1425463741671552,0.142547783134969,160
108,北京市,大兴区,116.335,39.7254,2237,315,0.142037103263299,1,0.1399850466997345,0.1416235445807431,160
109,深圳市,龙华区,114.04,22.6994,2056,294,0.1442392996108949,1,0.1420610047284985,0.1437801582797664,160
110,苏州市,昆山市,120.976,31.3869,1670,236,0.142317365269461,2,0.1402031656882328,0.1402842203024802,160
111,北京市,顺义区,116.654,40.1488,1488,207,0.1401129032258064,1,0.1379136566607574,0.1404063650098591,160
112,广州市,番禺区,113.379,22.9387,1421,206,0.1459683321604503,1,0.1435797712423762,0.1459605476515749,160
113,深圳市,罗湖区,114.126,22.5506,1403,205,0.1471154668567355,1,0.1446829104809352,0.1470485447396528,160
114,苏州市,吴中区,120.628,31.2655,1345,194,0.1452379182156133,2,0.1427904368910289,0.1427829575189843,160
115,温州市,鹿城区,120.651,28.0188,1002,151,0.1516986027944112,3,0.1485637736876807,0.1468666747110519,160
116,厦门市,湖里区,118.142,24.5146,895,132,0.1490446927374301,3,0.1452203660328526,0.1435404121473877,160
117,金华市,东阳市,120.237,29.2925,866,123,0.1436096997690531,3,0.1398955312781986,0.1384945635387327,160
118,昆明市,五华区,102.674,25.1366,812,117,0.1457044334975369,3,0.1417343621071491,0.1401290805885006,160
119,福州市,仓山区,119.315,26.0201,767,113,0.1489791395045632,3,0.1447058158018026,0.1428112675631615,160
120,无锡市,锡山区,120.355,31.5926,732,108,0.149224043715847,3,0.1447903627552167,0.1428093205711659,160
121,合肥市,蜀山区,117.255,31.8531,659,97,0.1489514415781487,2,0.1441688038752876,0.1440456163476311,160
122,福州市,晋安区,119.296,26.2331,472,71,0.1514237288135593,3,0.146067817331376,0.1430402912856435,160
123,合肥市,庐阳区,117.259,31.8806,449,65,0.1457661469933185,2,0.1405931021756527,0.1408141193755341,160
124,无锡市,宜兴市,119.817,31.3496,438,68,0.1562511415525114,3,0.1502399309702326,0.1465516127294001,160
125,三亚市,吉阳区,109.574,18.2829,408,66,0.1627647058823529,4,0.1559213572349226,0.1458303154489753,160
126,无锡市,滨湖区,120.279,31.53,387,60,0.1560387596899224,3,0.1494363009194226,0.1454553122359198,160
127,长春市,朝阳区,125.271,43.8477,340,53,0.1583529411764705,3,0.1494992698848633,0.1450771984325011,160
128,沈阳市,和平区,123.4,41.7513,337,49,0.1464005934718101,2,0.1399083211270199,0.1402815803135407,160
129,金华市,武义县,119.812,28.8965,329,50,0.1529756838905775,3,0.14575784502592,0.1417472609462294,160
130,福州市,长乐区,119.541,25.8994,296,46,0.1580945945945946,3,0.1482176554986556,0.1434907739348824,160
131,沈阳市,浑南区,123.593,41.7512,289,42,0.1463287197231834,2,0.1390259041539223,0.1395833835101301,160
132,常州市,钟楼区,119.897,31.8041,237,36,0.1528987341772152,3,0.1435740336742627,0.1388375696047423,160
133,青岛市,崂山区,120.465,36.106,226,34,0.1514424778761062,2,0.1419516270004057,0.142074176917848,160
134,塔城地区,塔城市,82.9838,46.751,195,35,0.1804871794871795,6,0.1656071894043198,0.1437832335504387,160
135,中山市,古镇镇,113.183,22.6193,134,23,0.1763731343283582,3,0.1542623456489985,0.1445738468965555,160
136,温州市,洞头区,121.153,27.8389,122,21,0.1731311475409836,3,0.153303849422024,0.1433388915012833,160
137,成都市,新津县,103.807,30.4157,118,18,0.1535423728813559,2,0.1375283861743182,0.1389604262212784,160
138,杭州市,下城区,120.143,30.2849,89,14,0.1639213483146067,2,0.1374329073426085,0.1391247437589505,160
139,中山市,石岐街道,113.376,22.5385,86,15,0.1754186046511628,3,0.1492713900005219,0.1386387335960351,160
140,贵阳市,乌当区,106.749,26.6336,77,14,0.1893116883116883,3,0.152385179618563,0.1400988712315308,160
141,深圳市,宝安区,113.879,22.5599,3974,525,0.1332345244086562,1,0.1317116335133177,0.1327710794936313,150
142,广州市,增城区,113.77,23.3473,1538,204,0.1336397919375812,1,0.1316158777553557,0.1342614745157077,150
143,西安市,雁塔区,108.944,34.224,1509,198,0.1322127236580517,2,0.1302003662451,0.1306603938799875,150
144,宁波市,余姚市,121.15,30.0403,1386,190,0.1380851370851371,3,0.1358472770008215,0.1351015436910559,150
145,广州市,黄埔区,113.476,23.1825,1384,189,0.1379219653179191,1,0.1353334077802916,0.13810542645912,150
